Day;Money;RP;CPUTech;GPUTech;Researchers;OfficeLevel;ProducedCPU;ProducedGPU;SoldCPU;SoldGPU;Revenue;Expenses
2;20100;25;0;0;1;0;100;0;100;0;12250;2150
3;19243;73;0;0;2;0;20;0;20;0;2450;3307
4;20030;121;0;0;2;0;20;0;20;0;2450;1663
5;20978;169;0;0;2;0;20;0;20;0;2450;1502
6;22128;217;0;0;2;0;20;0;20;0;2450;1300
7;22996;265;0;0;2;0;20;0;20;0;2450;1582
8;24040;63;1;0;2;0;20;0;20;0;2450;1406
9;27906;111;1;0;2;0;19;0;19;0;5166;1300
10;31772;159;1;0;2;0;19;0;19;0;5166;1300
11;35638;207;1;0;2;0;19;0;19;0;5166;1300
12;39504;255;1;0;2;0;19;0;19;0;5166;1300
13;42402;303;1;0;2;0;19;0;19;0;5166;2268
14;45033;351;1;0;2;0;19;0;19;0;5166;2535
15;46871;399;1;0;2;0;19;0;19;0;5166;3328
16;48882;447;1;0;2;0;19;0;19;0;5166;3155
17;50103;495;1;0;2;0;19;0;19;0;5166;3945
18;52005;543;1;0;2;0;19;0;19;0;5166;3264
19;54632;591;1;0;2;0;19;0;19;0;5166;2539
20;57057;639;1;0;2;0;19;0;19;0;5166;2741
21;59778;687;1;0;2;0;19;0;19;0;5166;2445
22;67030;735;1;0;2;0;19;0;19;0;4704;2452
23;35409;783;1;0;2;1;19;0;19;0;4905;36526
24;53496;855;1;0;3;1;95;0;95;0;25537;7450
25;69863;949;1;0;4;1;95;0;95;0;25830;9463
26;87943;1064;1;0;5;1;95;0;95;0;25830;7750
27;108023;1179;1;0;5;1;95;0;95;0;25830;5750
28;127903;1294;1;0;5;1;95;0;95;0;25830;5950
29;147871;209;2;0;5;1;95;0;95;0;25830;5862
30;115071;324;2;0;5;2;90;0;90;0;47950;80750
31;190419;439;2;0;5;2;180;0;180;0;95900;20552
32;266451;574;2;0;6;2;180;0;180;0;95049;19017
33;347600;729;2;0;7;2;180;0;180;0;94199;13050
34;423991;903;2;0;8;2;180;0;180;0;93348;16957
35;491949;1095;2;0;9;2;180;0;180;0;92498;24540
36;551549;1304;2;0;10;2;180;0;180;0;91647;32047
37;619812;1513;2;0;10;2;180;0;180;0;90797;22534
38;690368;1722;2;0;10;2;180;0;180;0;89946;19390
39;400226;1931;2;0;10;3;180;0;180;0;89096;379238
40;457352;2140;2;0;10;3;180;0;180;0;88245;31119
41;514976;2349;2;0;10;3;180;0;180;0;87394;29770
42;569655;2558;2;0;10;3;180;0;180;0;86544;31865
43;618645;2767;2;0;10;3;180;0;180;0;85693;36703
44;669955;2976;2;0;10;3;180;0;180;0;84843;33533
45;728012;3185;2;0;10;3;180;0;180;0;83992;25935
46;793328;3394;2;0;10;3;180;0;180;0;83142;17826
47;864119;3603;2;0;10;3;180;0;180;0;82291;11500
48;933125;3812;2;0;10;3;180;0;180;0;81441;12435
49;992357;4021;2;0;10;3;180;0;180;0;80590;21358
50;1040151;4247;2;0;11;3;180;0;180;0;79740;31946
51;1094947;4489;2;0;12;3;180;0;180;0;78889;24093
52;1149855;4746;2;0;13;3;180;0;180;0;78039;23131
