sep=;
Day;Money;RP;CPUTech;GPUTech;Researchers;OfficeLevel;ProducedCPU;ProducedGPU;SoldCPU;SoldGPU;Revenue;Expenses
2;20100;25;0;0;1;0;100;0;100;0;12250;2150
3;18767;73;0;0;2;0;20;0;20;0;2450;3783
4;19622;121;0;0;2;0;20;0;20;0;2450;1595
5;19654;169;0;0;2;0;20;0;20;0;2450;2418
6;18697;217;0;0;2;0;20;0;20;0;2450;3407
7;17756;265;0;0;2;0;20;0;20;0;2450;3391
8;17523;63;1;0;2;0;20;0;20;0;2450;2683
9;20184;111;1;0;2;0;19;0;19;0;5166;2505
10;23145;159;1;0;2;0;19;0;19;0;5166;2205
11;25356;207;1;0;2;0;19;0;19;0;5166;2955
12;26777;255;1;0;2;0;19;0;19;0;5166;3745
13;27592;303;1;0;2;0;19;0;19;0;5166;4351
14;28838;351;1;0;2;0;19;0;19;0;5166;3920
15;29652;399;1;0;2;0;19;0;19;0;5166;4352
16;31011;447;1;0;2;0;19;0;19;0;5166;3807
17;32686;495;1;0;2;0;19;0;19;0;5166;3491
18;34730;543;1;0;2;0;19;0;19;0;5166;3122
19;37555;591;1;0;2;0;19;0;19;0;5166;2341
20;40703;639;1;0;2;0;19;0;19;0;5166;2018
21;43720;687;1;0;2;0;19;0;19;0;5166;2149
22;46292;735;1;0;2;0;19;0;19;0;4704;2132
23;49289;783;1;0;2;0;19;0;19;0;4905;1908
24;51820;831;1;0;2;0;19;0;19;0;5107;2576
25;55297;879;1;0;2;0;19;0;19;0;5166;1689
26;59163;927;1;0;2;0;19;0;19;0;5166;1300
27;63029;975;1;0;2;0;19;0;19;0;5166;1300
28;66336;1023;1;0;2;0;19;0;19;0;5166;1859
29;35119;1071;1;0;2;1;19;0;19;0;5166;36383
30;49297;1143;1;0;3;1;95;0;95;0;25830;11652
31;61847;1237;1;0;4;1;95;0;95;0;25830;13280
32;72706;152;2;0;5;1;95;0;95;0;25830;14971
33;112609;267;2;0;5;1;90;0;90;0;47950;8047
34;149079;382;2;0;5;1;90;0;90;0;47950;11480
35;107972;497;2;0;5;2;90;0;90;0;47950;89057
36;179882;612;2;0;5;2;180;0;180;0;95900;23990
37;258443;747;2;0;6;2;180;0;180;0;95049;16488
38;339570;902;2;0;7;2;180;0;180;0;94199;13072
39;410309;1076;2;0;8;2;180;0;180;0;93348;22609
40;484796;1268;2;0;9;2;180;0;180;0;92498;18011
41;562943;1477;2;0;10;2;180;0;180;0;91647;13500
42;633018;1686;2;0;10;2;180;0;180;0;90797;20722
43;352431;1895;2;0;10;3;180;0;180;0;89946;370533
44;418988;2104;2;0;10;3;180;0;180;0;89096;22539
45;487990;2313;2;0;10;3;180;0;180;0;88245;19243
46;556740;2522;2;0;10;3;180;0;180;0;87394;18644
47;629312;2731;2;0;10;3;180;0;180;0;86544;13972
48;620075;2940;2;0;10;3;180;0;180;0;85693;94930
49;684443;3149;2;0;10;3;180;0;180;0;84843;20475
50;604474;3358;2;0;10;3;180;0;180;0;83992;12842
51;624598;3567;2;0;10;3;180;0;180;0;42271;22147
52;640336;3776;2;0;10;3;180;0;180;0;41845;26107
53;651054;3985;2;0;10;3;180;0;180;0;41420;30702
